Celebrity,Current Ranking,Current Price,Avg. 21-Day Price,Avg. 21-Day Price/Current Price,All-Time High Price,All-Time High Price/Current Price,Days Since All-Time High Price,Gender,Age,Upcoming Birthday,U.S. Nationality,Living Status,Celebrity Bucks Recommendation,Last Update
Eva Amurri Martino,677,4000,1000,0.25,214000,53.5,1438,Female,35,No upcoming birthday,U.S. national,Alive,Hold,45:51.3
Naomi Campbell,678,4000,2000,0.5,194000,48.5,2451,Female,50,No upcoming birthday,Foreign to U.S.,Alive,Hold,45:52.6
Rob Reiner,679,4000,1000,0.25,150000,37.5,722,Male,73,No upcoming birthday,U.S. national,Alive,Hold,45:54.0
Loretta Swit,680,4000,1000,0.25,18000,4.5,1440,Female,83,No upcoming birthday,U.S. national,Alive,Hold,45:55.5
Lee Daniels,681,4000,1000,0.25,394000,98.5,1905,Male,60,No upcoming birthday,U.S. national,Alive,Hold,45:56.8
Patrick Warburton,682,4000,1000,0.25,104000,26,1732,Male,56,No upcoming birthday,U.S. national,Alive,Hold,45:58.1
Stevie Wonder,683,4000,1000,0.25,404000,101,1662,Male,70,No upcoming birthday,U.S. national,Alive,Hold,45:59.8
LeAnn Rimes,684,4000,2000,0.5,207000,51.75,2556,Female,38,No upcoming birthday,U.S. national,Alive,Hold,46:01.1
Christine Lahti,685,4000,1000,0.25,21000,5.25,2524,Female,70,No upcoming birthday,U.S. national,Alive,Hold,46:02.5
Courtney Love,686,4000,2000,0.5,375000,93.75,2459,Female,56,No upcoming birthday,U.S. national,Alive,Hold,46:03.8
Andrew Keegan,687,4000,1000,0.25,111000,27.75,2309,Male,41,No upcoming birthday,U.S. national,Alive,Hold,46:05.1
Alicia Vikander,688,4000,1000,0.25,807000,201.75,1746,Female,32,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:06.5
Anneliese van der Pol,689,4000,1000,0.25,58000,14.5,1904,Female,36,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:07.7
Jamie-Lynn Sigler,690,4000,1000,0.25,329000,82.25,1786,Female,39,No upcoming birthday,U.S. national,Alive,Hold,46:09.0
Halle Berry,691,4000,10000,2.5,856000,214,1870,Female,54,No upcoming birthday,U.S. national,Alive,Hold,46:10.3
Carmen Ejogo,692,4000,1000,0.25,96000,24,2118,Female,46,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:11.5
Jeff Bridges,693,3000,2000,0.667,315000,105,51,Male,71,No upcoming birthday,U.S. national,Alive,Hold,46:12.8
Kristen Bell,694,3000,2000,0.667,689000,229.667,1053,Female,40,No upcoming birthday,U.S. national,Alive,Hold,46:14.1
Alessandro Nivola,695,3000,1000,0.333,80000,26.667,751,Male,48,No upcoming birthday,U.S. national,Alive,Hold,46:15.4
Chita Rivera,696,3000,1000,0.333,84000,28,2012,Female,87,No upcoming birthday,U.S. national,Alive,Hold,46:16.6
Cole Sprouse,697,3000,1000,0.333,280000,93.333,506,Male,28,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:17.8
John Kerr,698,3000,8000,2.667,138000,46,2539,Male,81,No upcoming birthday,U.S. national,Dead,Hold,46:19.1
Mandy Patinkin,699,3000,1000,0.333,114000,38,2006,Male,68,No upcoming birthday,U.S. national,Alive,Hold,46:20.3
Jane Seymour,700,3000,1000,0.333,85000,28.333,1022,Female,69,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:21.6
Joel Grey,701,3000,1000,0.333,177000,59,2143,Male,88,No upcoming birthday,U.S. national,Alive,Hold,46:22.9
Ingrid Michaelson,702,3000,1000,0.333,67000,22.333,707,Female,41,No upcoming birthday,U.S. national,Alive,Hold,46:24.8
Kevin McHale,703,3000,1000,0.333,135000,45,150,Male,32,No upcoming birthday,U.S. national,Alive,Hold,46:26.1
Jordan Fisher,704,3000,2000,0.667,374000,124.667,1115,NaN,NaN,NaN,NaN,NaN,Hold,46:28.8
Tonya Pinkins,705,3000,1000,0.333,66000,22,1807,NaN,NaN,NaN,NaN,NaN,Hold,46:31.4
Tilda Swinton,706,3000,1000,0.333,213000,71,2361,Female,60,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:32.8
Steven Pasquale,707,3000,1000,0.333,29000,9.667,2337,Male,44,No upcoming birthday,U.S. national,Alive,Hold,46:35.8
Kathleen Chalfant,708,3000,1000,0.333,22000,7.333,1810,Female,75,No upcoming birthday,U.S. national,Alive,Hold,46:37.8
Judith Light,709,3000,1000,0.333,75000,25,1543,Female,71,No upcoming birthday,U.S. national,Alive,Hold,46:39.1
Blair Underwood,710,3000,1000,0.333,42000,14,1619,Male,56,No upcoming birthday,U.S. national,Alive,Hold,46:40.4
Debbie Allen,711,3000,1000,0.333,81000,27,681,Female,70,No upcoming birthday,U.S. national,Alive,Hold,46:41.7
Marsha Mason,712,3000,1000,0.333,22000,7.333,1718,Female,78,No upcoming birthday,U.S. national,Alive,Hold,46:43.0
Norma Shearer,713,1000,1000,1,26000,26,409,Female,82,No upcoming birthday,Foreign to U.S.,Dead,Hold,46:44.4
Phil Keoghan,714,1000,1000,1,35000,35,2559,Male,53,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:45.6
Paul Dano,715,1000,1000,1,260000,260,419,Male,36,No upcoming birthday,U.S. national,Alive,Hold,46:46.8
Jean Marais,716,1000,1000,1,14000,14,2533,Male,84,Upcoming birthday,Foreign to U.S.,Dead,Hold,46:48.1
Charles Dance,717,1000,1000,1,126000,126,2272,Male,74,No upcoming birthday,Foreign to U.S.,Alive,Hold,46:49.4
